id,title,category,description,price,image_url,attributes
1,Navy Midi Dress (wool),Women's Dresses,"A navy midi dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",234.19,https://images.pexels.com/photos/22221770/pexels-photo-22221770.jpeg,"{'color': 'navy', 'material': 'wool', 'occasion': 'semi-formal'}"
2,Pink Cocktail Dress (cotton),Women's Dresses,"A pink cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",363.58,https://images.pexels.com/photos/6544078/pexels-photo-6544078.jpeg,"{'color': 'pink', 'material': 'cotton', 'occasion': 'semi-formal'}"
3,Black Maxi Dress (suede),Women's Dresses,"A black maxi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",216.23,https://images.pexels.com/photos/3683587/pexels-photo-3683587.jpeg,"{'color': 'black', 'material': 'suede', 'occasion': 'semi-formal'}"
4,Navy Midi Dress (linen),Women's Dresses,"A navy midi dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",206.91,https://images.pexels.com/photos/4690501/pexels-photo-4690501.jpeg,"{'color': 'navy', 'material': 'linen', 'occasion': 'semi-formal'}"
5,Tan Midi Dress (leather),Women's Dresses,"A tan midi dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",366.77,https://images.pexels.com/photos/17243579/pexels-photo-17243579.jpeg,"{'color': 'tan', 'material': 'leather', 'occasion': 'semi-formal'}"
6,Ivory Midi Dress (cotton),Women's Dresses,"A ivory midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",442.36,https://images.pexels.com/photos/8531226/pexels-photo-8531226.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
7,Tan Midi Dress (polyester blend),Women's Dresses,"A tan midi dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",230.81,https://images.pexels.com/photos/4357423/pexels-photo-4357423.jpeg,"{'color': 'tan', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
8,Ivory Wrap Dress (cotton),Women's Dresses,"A ivory wrap dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",342.77,https://images.pexels.com/photos/8193584/pexels-photo-8193584.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
9,Ivory Cocktail Dress (cotton),Women's Dresses,"A ivory cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",97.99,https://images.pexels.com/photos/3394237/pexels-photo-3394237.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
10,Ivory Wrap Dress (cotton),Women's Dresses,"A ivory wrap dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",79.26,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'ivory', 'material': 'cotton', 'occasion': 'semi-formal'}"
11,Navy Wrap Dress (silk),Women's Dresses,"A navy wrap dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",376.79,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'navy', 'material': 'silk', 'occasion': 'semi-formal'}"
12,Burgundy Wrap Dress (silk),Women's Dresses,"A burgundy wrap dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",448.27,https://images.pexels.com/photos/9942927/pexels-photo-9942927.jpeg,"{'color': 'burgundy', 'material': 'silk', 'occasion': 'semi-formal'}"
13,Emerald Midi Dress (silk),Women's Dresses,"A emerald midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",76.05,https://images.pexels.com/photos/16297928/pexels-photo-16297928.jpeg,"{'color': 'emerald', 'material': 'silk', 'occasion': 'semi-formal'}"
14,Charcoal Midi Dress (cotton),Women's Dresses,"A charcoal midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",452.0,https://images.pexels.com/photos/35119097/pexels-photo-35119097.jpeg,"{'color': 'charcoal', 'material': 'cotton', 'occasion': 'semi-formal'}"
15,Charcoal Midi Dress (silk),Women's Dresses,"A charcoal midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",334.24,https://images.pexels.com/photos/6522474/pexels-photo-6522474.jpeg,"{'color': 'charcoal', 'material': 'silk', 'occasion': 'semi-formal'}"
16,Tan Midi Dress (silk),Women's Dresses,"A tan midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",360.41,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'silk', 'occasion': 'semi-formal'}"
17,Burgundy Wrap Dress (wool),Women's Dresses,"A burgundy wrap dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",289.69,https://images.pexels.com/photos/9942927/pexels-photo-9942927.jpeg,"{'color': 'burgundy', 'material': 'wool', 'occasion': 'semi-formal'}"
18,Tan Wrap Dress (polyester blend),Women's Dresses,"A tan wrap dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",49.09,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
19,Black Wrap Dress (leather),Women's Dresses,"A black wrap dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",198.77,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'black', 'material': 'leather', 'occasion': 'semi-formal'}"
20,Emerald Cocktail Dress (wool),Women's Dresses,"A emerald cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",125.94,https://images.pexels.com/photos/9391499/pexels-photo-9391499.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'semi-formal'}"
21,Navy Cocktail Dress (linen),Women's Dresses,"A navy cocktail dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",321.59,https://images.pexels.com/photos/3379279/pexels-photo-3379279.jpeg,"{'color': 'navy', 'material': 'linen', 'occasion': 'semi-formal'}"
22,Black Cocktail Dress (silk),Women's Dresses,"A black cocktail dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",144.19,https://images.pexels.com/photos/35133816/pexels-photo-35133816.jpeg,"{'color': 'black', 'material': 'silk', 'occasion': 'semi-formal'}"
23,Emerald Cocktail Dress (wool),Women's Dresses,"A emerald cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",227.56,https://images.pexels.com/photos/13577766/pexels-photo-13577766.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'semi-formal'}"
24,Charcoal Midi Dress (suede),Women's Dresses,"A charcoal midi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",242.72,https://images.pexels.com/photos/4690501/pexels-photo-4690501.jpeg,"{'color': 'charcoal', 'material': 'suede', 'occasion': 'semi-formal'}"
25,Black Cocktail Dress (polyester blend),Women's Dresses,"A black cocktail dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",333.82,https://images.pexels.com/photos/6405726/pexels-photo-6405726.jpeg,"{'color': 'black', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
26,Ivory Cocktail Dress (polyester blend),Women's Dresses,"A ivory cocktail dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",202.69,https://images.pexels.com/photos/3394237/pexels-photo-3394237.jpeg,"{'color': 'ivory', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
27,Black Midi Dress (wool),Women's Dresses,"A black midi dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",398.98,https://images.pexels.com/photos/19292779/pexels-photo-19292779.jpeg,"{'color': 'black', 'material': 'wool', 'occasion': 'semi-formal'}"
28,Pink Midi Dress (cotton),Women's Dresses,"A pink midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",96.3,https://images.pexels.com/photos/19880112/pexels-photo-19880112.jpeg,"{'color': 'pink', 'material': 'cotton', 'occasion': 'semi-formal'}"
29,Tan Midi Dress (suede),Women's Dresses,"A tan midi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",266.24,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'suede', 'occasion': 'semi-formal'}"
30,Pink Cocktail Dress (linen),Women's Dresses,"A pink cocktail dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",472.5,https://images.pexels.com/photos/27519878/pexels-photo-27519878.jpeg,"{'color': 'pink', 'material': 'linen', 'occasion': 'semi-formal'}"
31,Charcoal Maxi Dress (silk),Women's Dresses,"A charcoal maxi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",359.11,https://images.pexels.com/photos/4998599/pexels-photo-4998599.jpeg,"{'color': 'charcoal', 'material': 'silk', 'occasion': 'semi-formal'}"
32,Burgundy Midi Dress (suede),Women's Dresses,"A burgundy midi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",441.72,https://images.pexels.com/photos/19511775/pexels-photo-19511775.jpeg,"{'color': 'burgundy', 'material': 'suede', 'occasion': 'semi-formal'}"
33,Tan Midi Dress (silk),Women's Dresses,"A tan midi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",347.12,https://images.pexels.com/photos/10131085/pexels-photo-10131085.jpeg,"{'color': 'tan', 'material': 'silk', 'occasion': 'semi-formal'}"
34,Navy Midi Dress (suede),Women's Dresses,"A navy midi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",87.52,https://images.pexels.com/photos/10944886/pexels-photo-10944886.jpeg,"{'color': 'navy', 'material': 'suede', 'occasion': 'semi-formal'}"
35,Ivory Maxi Dress (silk),Women's Dresses,"A ivory maxi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",126.69,https://images.pexels.com/photos/4171763/pexels-photo-4171763.jpeg,"{'color': 'ivory', 'material': 'silk', 'occasion': 'semi-formal'}"
36,Burgundy Wrap Dress (linen),Women's Dresses,"A burgundy wrap dress made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",153.87,https://images.pexels.com/photos/19511775/pexels-photo-19511775.jpeg,"{'color': 'burgundy', 'material': 'linen', 'occasion': 'semi-formal'}"
37,Charcoal Cocktail Dress (cotton),Women's Dresses,"A charcoal cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",357.19,https://images.pexels.com/photos/7322119/pexels-photo-7322119.jpeg,"{'color': 'charcoal', 'material': 'cotton', 'occasion': 'semi-formal'}"
38,Ivory Cocktail Dress (polyester blend),Women's Dresses,"A ivory cocktail dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",268.99,https://images.pexels.com/photos/3379279/pexels-photo-3379279.jpeg,"{'color': 'ivory', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
39,Emerald Cocktail Dress (wool),Women's Dresses,"A emerald cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",356.2,https://images.pexels.com/photos/13577766/pexels-photo-13577766.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'semi-formal'}"
40,Emerald Maxi Dress (silk),Women's Dresses,"A emerald maxi dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",109.67,https://images.pexels.com/photos/16297928/pexels-photo-16297928.jpeg,"{'color': 'emerald', 'material': 'silk', 'occasion': 'semi-formal'}"
41,Black Wrap Dress (silk),Women's Dresses,"A black wrap dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",57.89,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'black', 'material': 'silk', 'occasion': 'semi-formal'}"
42,Ivory Maxi Dress (leather),Women's Dresses,"A ivory maxi dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",312.27,https://images.pexels.com/photos/4998599/pexels-photo-4998599.jpeg,"{'color': 'ivory', 'material': 'leather', 'occasion': 'semi-formal'}"
43,Blush Cocktail Dress (cotton),Women's Dresses,"A blush cocktail dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",287.2,https://images.pexels.com/photos/4694509/pexels-photo-4694509.jpeg,"{'color': 'blush', 'material': 'cotton', 'occasion': 'semi-formal'}"
44,Tan Cocktail Dress (silk),Women's Dresses,"A tan cocktail dress made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",79.32,https://images.pexels.com/photos/4694509/pexels-photo-4694509.jpeg,"{'color': 'tan', 'material': 'silk', 'occasion': 'semi-formal'}"
45,Navy Midi Dress (leather),Women's Dresses,"A navy midi dress made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",488.23,https://images.pexels.com/photos/10944886/pexels-photo-10944886.jpeg,"{'color': 'navy', 'material': 'leather', 'occasion': 'semi-formal'}"
46,Charcoal Midi Dress (cotton),Women's Dresses,"A charcoal midi dress made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",323.12,https://images.pexels.com/photos/4690501/pexels-photo-4690501.jpeg,"{'color': 'charcoal', 'material': 'cotton', 'occasion': 'semi-formal'}"
47,Burgundy Cocktail Dress (polyester blend),Women's Dresses,"A burgundy cocktail dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",236.59,https://images.pexels.com/photos/4694509/pexels-photo-4694509.jpeg,"{'color': 'burgundy', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
48,Burgundy Cocktail Dress (wool),Women's Dresses,"A burgundy cocktail dress made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",82.56,https://images.pexels.com/photos/19511775/pexels-photo-19511775.jpeg,"{'color': 'burgundy', 'material': 'wool', 'occasion': 'semi-formal'}"
49,Navy Maxi Dress (suede),Women's Dresses,"A navy maxi dress made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",240.45,https://images.pexels.com/photos/10944886/pexels-photo-10944886.jpeg,"{'color': 'navy', 'material': 'suede', 'occasion': 'semi-formal'}"
50,Black Wrap Dress (polyester blend),Women's Dresses,"A black wrap dress made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",171.64,https://images.pexels.com/photos/4972914/pexels-photo-4972914.jpeg,"{'color': 'black', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
51,Burgundy Tuxedo (wool),Men's Suits,"A burgundy tuxedo made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",117.31,https://images.pexels.com/photos/8915658/pexels-photo-8915658.jpeg,"{'color': 'burgundy', 'material': 'wool', 'occasion': 'casual'}"
52,Tan Tuxedo (cotton),Men's Suits,"A tan tuxedo made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",402.26,https://images.pexels.com/photos/8915641/pexels-photo-8915641.jpeg,"{'color': 'tan', 'material': 'cotton', 'occasion': 'casual'}"
53,Navy Morning Coat (suede),Men's Suits,"A navy morning coat made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",153.94,https://images.pexels.com/photos/33502687/pexels-photo-33502687.jpeg,"{'color': 'navy', 'material': 'suede', 'occasion': 'casual'}"
54,Pink Blazer (wool),Men's Suits,"A pink blazer made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",328.62,https://images.pexels.com/photos/32834418/pexels-photo-32834418.jpeg,"{'color': 'pink', 'material': 'wool', 'occasion': 'casual'}"
55,Burgundy Morning Coat (silk),Men's Suits,"A burgundy morning coat made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",218.53,https://images.pexels.com/photos/33502687/pexels-photo-33502687.jpeg,"{'color': 'burgundy', 'material': 'silk', 'occasion': 'casual'}"
56,Emerald Two-Piece Suit (leather),Men's Suits,"A emerald two-piece suit made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",161.26,https://images.pexels.com/photos/7841854/pexels-photo-7841854.jpeg,"{'color': 'emerald', 'material': 'leather', 'occasion': 'semi-formal'}"
57,Blush Morning Coat (silk),Men's Suits,"A blush morning coat made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",236.33,https://images.pexels.com/photos/33502687/pexels-photo-33502687.jpeg,"{'color': 'blush', 'material': 'silk', 'occasion': 'casual'}"
58,Emerald Blazer (wool),Men's Suits,"A emerald blazer made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",149.41,https://images.pexels.com/photos/10320228/pexels-photo-10320228.jpeg,"{'color': 'emerald', 'material': 'wool', 'occasion': 'casual'}"
59,Pink Two-Piece Suit (linen),Men's Suits,"A pink two-piece suit made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",50.15,https://images.pexels.com/photos/34769615/pexels-photo-34769615.jpeg,"{'color': 'pink', 'material': 'linen', 'occasion': 'semi-formal'}"
60,Navy Blazer (cotton),Men's Suits,"A navy blazer made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",487.31,https://images.pexels.com/photos/10320228/pexels-photo-10320228.jpeg,"{'color': 'navy', 'material': 'cotton', 'occasion': 'casual'}"
61,Burgundy Two-Piece Suit (linen),Men's Suits,"A burgundy two-piece suit made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",77.71,https://images.pexels.com/photos/35082002/pexels-photo-35082002.jpeg,"{'color': 'burgundy', 'material': 'linen', 'occasion': 'semi-formal'}"
62,Ivory Blazer (silk),Men's Suits,"A ivory blazer made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",142.34,https://images.pexels.com/photos/7203892/pexels-photo-7203892.jpeg,"{'color': 'ivory', 'material': 'silk', 'occasion': 'casual'}"
63,Navy Morning Coat (silk),Men's Suits,"A navy morning coat made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",230.26,https://images.pexels.com/photos/3781911/pexels-photo-3781911.jpeg,"{'color': 'navy', 'material': 'silk', 'occasion': 'casual'}"
64,Burgundy Tuxedo (polyester blend),Men's Suits,"A burgundy tuxedo made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",205.19,https://images.pexels.com/photos/18272977/pexels-photo-18272977.png,"{'color': 'burgundy', 'material': 'polyester blend', 'occasion': 'casual'}"
65,Emerald Two-Piece Suit (polyester blend),Men's Suits,"A emerald two-piece suit made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",472.01,https://images.pexels.com/photos/34769615/pexels-photo-34769615.jpeg,"{'color': 'emerald', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
66,Burgundy Blazer (linen),Men's Suits,"A burgundy blazer made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",493.56,https://images.pexels.com/photos/35082003/pexels-photo-35082003.jpeg,"{'color': 'burgundy', 'material': 'linen', 'occasion': 'casual'}"
67,Burgundy Two-Piece Suit (polyester blend),Men's Suits,"A burgundy two-piece suit made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",204.03,https://images.pexels.com/photos/2865977/pexels-photo-2865977.jpeg,"{'color': 'burgundy', 'material': 'polyester blend', 'occasion': 'semi-formal'}"
68,Tan Morning Coat (polyester blend),Men's Suits,"A tan morning coat made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",69.41,https://images.pexels.com/photos/3781911/pexels-photo-3781911.jpeg,"{'color': 'tan', 'material': 'polyester blend', 'occasion': 'casual'}"
69,Emerald Blazer (cotton),Men's Suits,"A emerald blazer made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",42.5,https://images.pexels.com/photos/10679176/pexels-photo-10679176.jpeg,"{'color': 'emerald', 'material': 'cotton', 'occasion': 'casual'}"
70,Tan Tuxedo (cotton),Men's Suits,"A tan tuxedo made from cotton. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",338.51,https://images.pexels.com/photos/8915658/pexels-photo-8915658.jpeg,"{'color': 'tan', 'material': 'cotton', 'occasion': 'casual'}"
71,Ivory Tuxedo (silk),Men's Suits,"A ivory tuxedo made from silk. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",257.19,https://images.pexels.com/photos/8915641/pexels-photo-8915641.jpeg,"{'color': 'ivory', 'material': 'silk', 'occasion': 'casual'}"
72,Ivory Blazer (linen),Men's Suits,"A ivory blazer made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",139.67,https://images.pexels.com/photos/10679176/pexels-photo-10679176.jpeg,"{'color': 'ivory', 'material': 'linen', 'occasion': 'casual'}"
73,Charcoal Tuxedo (suede),Men's Suits,"A charcoal tuxedo made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",343.26,https://images.pexels.com/photos/6405753/pexels-photo-6405753.jpeg,"{'color': 'charcoal', 'material': 'suede', 'occasion': 'casual'}"
74,Burgundy Two-Piece Suit (wool),Men's Suits,"A burgundy two-piece suit made from wool. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",105.91,https://images.pexels.com/photos/2865977/pexels-photo-2865977.jpeg,"{'color': 'burgundy', 'material': 'wool', 'occasion': 'semi-formal'}"
75,Ivory Two-Piece Suit (leather),Men's Suits,"A ivory two-piece suit made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",439.53,https://images.pexels.com/photos/7841505/pexels-photo-7841505.jpeg,"{'color': 'ivory', 'material': 'leather', 'occasion': 'semi-formal'}"
76,Ivory Blazer (leather),Men's Suits,"A ivory blazer made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",488.99,https://images.pexels.com/photos/10679176/pexels-photo-10679176.jpeg,"{'color': 'ivory', 'material': 'leather', 'occasion': 'casual'}"
77,Ivory Blazer (suede),Men's Suits,"A ivory blazer made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",440.93,https://images.pexels.com/photos/10679176/pexels-photo-10679176.jpeg,"{'color': 'ivory', 'material': 'suede', 'occasion': 'casual'}"
78,Emerald Morning Coat (linen),Men's Suits,"A emerald morning coat made from linen. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",374.61,https://images.pexels.com/photos/33502687/pexels-photo-33502687.jpeg,"{'color': 'emerald', 'material': 'linen', 'occasion': 'casual'}"
79,Blush Tuxedo (suede),Men's Suits,"A blush tuxedo made from suede. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",374.06,https://images.pexels.com/photos/6405753/pexels-photo-6405753.jpeg,"{'color': 'blush', 'material': 'suede', 'occasion': 'casual'}"
80,Burgundy Two-Piece Suit (leather),Men's Suits,"A burgundy two-piece suit made from leather. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",293.02,https://images.pexels.com/photos/2865977/pexels-photo-2865977.jpeg,"{'color': 'burgundy', 'material': 'leather', 'occasion': 'semi-formal'}"
81,Blush Morning Coat (polyester blend),Men's Suits,"A blush morning coat made from polyester blend. Versatile, elegant, and suitable for semi-formal events. Lightweight, breathable, and tailored fit.",410.53,https://images.pexels.com/photos/3781911/pexels-photo-3781911.jpeg,"{'color': 'blush', 'material': 'polyester blend', 'occasion': 'casual'}"
